sort,Family,Genus,Taxa,specimen numbers,,Portik,phylogeny notes,guild,ecology,Spec_lotic,ecology_source,lung_text,lung,lung_info,JRP_dissection_museum,museum dissection N = ,stage range exained,visit number,JRP_dissection_fresh,Histological_sections_examined,Dice_CT_material_reviewed,PHD_dissection_museum,air-breathing,literature_morphology,literature,Conflicting Source,Notes,Taxa_clone,development_high,development_low,source,source 2 (if needed),notes on larval period,Jetz_name
1,Allophrynidae,Allophryne,Allophryne_ruthveni,not accessioned,,,,lentic,1,0,Zimmerman and Sitnberloff (1996),present,1,normal,JRP,,36,,,,,Dias,,,,,,Allophryne_ruthveni,,,,,,
2,Alsodidae,Alsodes,Alsodes_monticola,,,,,"lentic, benthic",1,0,wassersug and Heyer (1989),present,1,,,,,,,,,,,,"Wassersug and Heyer, 1988",,,Alsodes_monticola,,,,,,
3,Alsodidae,Alsodes,Alsodes_neuquensis,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Alsodes_neuquensis,,,,,,
4,Alsodidae,Alsodes,Alsodes_nodosus,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Alsodes_nodosus,,,,,,
5,Alsodidae,Eupsophus,Eupsophus_migueli,,,,,endotroph,2,0,amphibiaweb,,,,,,,,,,,,,,,,,Eupsophus_migueli,,,,,,
6,Alsodidae,Limnomedusa,Limnomedusa_macroglossa,KU_197302,,,,lentic,1,0,amphibiaweb,present,1,large,KU,1,~37,1,,,,,,,KU,,,Limnomedusa_macroglossa,,,,,,
7,Alytidae,Alytes,Alytes_dickhilleni,,,,,lentic,1,0,,present,1,,,,,,,,,Dias,,,Dias,,,Alytes_dickhilleni,,,,,,
8,Alytidae,Alytes,Alytes_obstetricans,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,,,,"Haas, 2003",,,Alytes_obstetricans,,,,,,
9,Alytidae,Discoglossus,Discoglossus_galganoi,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,,,,"Haas, 2003",,,Discoglossus_galganoi,,,,,,
10,Alytidae,Discoglossus,Discoglossus_pictus,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,,,,"Haas, 2003",,,Discoglossus_pictus,,,,,,
11,Alytidae,Latonia,Latonia_nigriventer,,,,,lentic,1,0,amphibiaweb,,,,,,,,,,,,,,,,,Latonia_nigriventer,,,,,,
12,Arthroleptidae,Arthroleptis,,,,,,direct development,3,0,mcdiarmid and altig,,,,,,,,,,,,,,,,,0,,,,,,
13,Arthroleptidae,Astylosternus,Astylosternus_occidentalis,,,,,"lotic, clasping",0,0,this study,,,,,,,,,,,,,,,,,,,,,,,
14,Arthroleptidae,Astylosternus,Astylosternus_rheophilus,,,,,"lotic, clasping",0,0,this study,present,1,,,,,,,,,Dias,,,Dias,,,Astylosternus_rheophilus,,,,,,Astylosternus_diadematus
15,Arthroleptidae,Cardioglossa,Cardioglossa_manengouba,KU_ZMB77593,,,,"lotic, fossorial",0,1," Hirschfeld et al., 2011",absent,0,,,,,,,,,Dias,,,,,,Cardioglossa_manengouba,,,,,,
16,Arthroleptidae,Cardioglossa,Cardioglossa_sp.,MCZ_A-153490,,Cardioglossa_schioetzi,Likely ID based on collection locality,"lotic, fossorial",0,1," Hirschfeld et al., 2012",absent,0,none,MCZ,1,,,,,,,,,,,,Cardioglossa_sp.,,,,,,Cardioglossa_gratiosa
17,Arthroleptidae,Leptodactylodon,Leptodactylodon_bicolor,,,,,"lotic, fossorial",0,1,,present,1,,,,,,,,,Dias,,,Dias,,,Leptodactylodon_bicolor,,,,,,
18,Arthroleptidae,Leptodactylodon,Leptodactylodon_boulengeri,,,,,"lotic, fossorial",0,1,,heavily reduced,0,,,,,,,,,Dias,,,Dias,,,Leptodactylodon_boulengeri,,,,,,Leptodactylodon_perreti
19,Arthroleptidae,Leptodactylodon,Leptodactylodon_mertensi,,,,,"lotic, fossorial",0,1,,present,1,,,,,,,,,Dias,,,Dias,,,Leptodactylodon_mertensi,,,,,,
20,Arthroleptidae,Leptodactylodon,Leptodactylodon_sp.,KU_342001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Arthroleptidae,Leptopelis,Leptopelis_boulengeri,,,,,lotic,0,0,,present,1,,,,,,,,,Dias,,,Dias,,,Leptopelis_boulengeri,,,,,,Leptopelis_brevirostris
22,Arthroleptidae,Leptopelis,Leptopelis_calcaratus,,,,,lotic,0,0,"Barej et al., 2015",,,,,,,,,,,,,,,,,Leptopelis_calcaratus,,,,,,
23,Arthroleptidae,Leptopelis,Leptopelis_natalensis,,,,,lotic,0,0,,present,1,,PHYSIO,,,,,,,,PHYSIO,,PHYSIO,,,Leptopelis_natalensis,,,,,,
24,Arthroleptidae,Leptopelis,Leptopelis_rufus,,,,,lotic,0,0,"Barej et al., 2016",,,,,,,,,,,,,,,,,Leptopelis_rufus,,,,,,
25,Arthroleptidae,Leptopelis,Leptopelis_vermiculatus,,,,,"lentic, benthic",1,0,"Drewes et al., 1989",present,1,,,,,,,,,,,,"Haas, 2003",,,Leptopelis_vermiculatus,,,,,,
26,Arthroleptidae,Leptopelis,Leptopelis_viridis,,,,,lentic,1,0,"Barej et al., 2017",,,,,,,,,,,,,,,,,Leptopelis_viridis,,,,,,
27,Arthroleptidae,Leptopelis,Leptopelis_xenodactylus,,,,,lentic,1,0,"Channing et al., 2012",,,,,,,,,,,,,,,,,Leptopelis_xenodactylus,,,,,,
28,Arthroleptidae,Leptopelis,Leptopelis_yaldeni,,,,,lotic,0,0,"Channing et al., 2012",,,,,,,,,,,,,,,,,Leptopelis_yaldeni,,,,,,
29,Arthroleptidae,Nyctibates,Nyctibates_corrugatus,,,,,"lotic, suctorial",0,1,"Griesbaum et al., 2019",,,,,,,,,,,,,,,,,Nyctibates_corrugatus,,,,,,
30,Arthroleptidae,Scotobleps,Scotobleps_gabonicus,,,,,"lotic, suctorial",0,1,"Griesbaum et al., 2019",,,,,,,,,,,,,,,,,Scotobleps_gabonicus,,,,,,
31,Arthroleptidae,Trichobatrachus,Trichobatrachus_robustus,ZMB_82041,,,,"lotic, suctorial",0,1,"Griesbaum et al., 2019",present,1,,,,,,,,,Dias,,,Dias,,,Trichobatrachus_robustus,,,,,,
32,Arthroleptidae,,Leptopelis_sp,KU_351682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Ascaphidae,Ascaphus,Ascaphus_montanus,,,,,"lotic, suctorial",0,1,,absent,0,,,,,,,,,,,,Noble (described as A. truei),,,Ascaphus_montanus,,,,,,
34,Ascaphidae,Ascaphus,Ascaphus_truei,KU_312263 & KU_312264,,,,"lotic, suctorial",0,1,,absent,0,buds,KU,3,"25, 42",1 & 2,,,,,,,"Haas, 2003",,,Ascaphus_truei,,,,,,
35,Batrachylidae,Atelognathus,Atelognathus_reverberii,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,,,,"Wassersug and Heyer, 1988",,,Atelognathus_reverberii,,,,,,Atelognathus_jeinimenensis
36,Batrachylidae,Batrachyla,Batrachyla_taeniata,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,,,,"Wassersug and Heyer, 1988",,,Batrachyla_taeniata,,,,,,
37,Batrachylidae,Chaltenobatrachus,,,,,,lentic,1,0,amphibiaweb,,,,,,,,,,,,,,,,,0,,,,,,
38,Batrachylidae,Hylorina,Hylorina_sylvatica,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,,,,"Wassersug and Heyer, 1988",,,Hylorina_sylvatica,,,,,,
39,Bombinatoridae,Barbourula,,,,,,unknown,4,0,,,,,,,,,,,,,,,,,,0,,,,,,
40,Bombinatoridae,Bombina,Bombina_maxima,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,,,,"Haas, 2003",,,Bombina_maxima,,,,,,
41,Bombinatoridae,Bombina,Bombina_orientalis,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,,,,"Haas, 2003",,,Bombina_orientalis,,,,,,
42,Bombinatoridae,Bombina,Bombina_variegata,,,,,"lentic, benthic",1,0,,present,1,,,,,,,,,,,,"Haas, 2003",,,Bombina_variegata,,,,,,
43,Brachycephalidae,Brachycephalus,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
44,Brachycephalidae,Ischnocnema,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
45,Brevicipitidae,Balebreviceps,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
46,Brevicipitidae,Breviceps,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
47,Brevicipitidae,Callulina,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
48,Brevicipitidae,Probreviceps,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
49,Brevicipitidae,Spelaeophryne,,,,,,direct development,3,0,,,,,,,,,,,,,,,,,,0,,,,,,
50,Bufonidae,Adenomus,,,,,,"lotic, suctorial",0,1,Meegaskumbara et al. (2015) preprint,,,,,,,,,,,,,,,,,0,,,,,,
51,Bufonidae,Altiphrynoides,,,,,,endotroph,2,0,,,,,,,,,,,,,,,,,,0,,,,,,
52,Bufonidae,Amazophrynella,Amazophrynella_minuta,KU_MISSING,,,,"lentic, benthic",1,0,,absent,0,buds,KU,1,~38,1,,,,,,,KU,,,Amazophrynella_minuta,,,,,,
53,Bufonidae,Anaxyrus,Anaxyrus_americanus,,,,,"lentic, benthic",1,0,,absent,0,,,,,,3,,,,,,,,,Anaxyrus_americanus,,,,,,
54,Bufonidae,Anaxyrus,Anaxyrus_terrestris,,,,,"lentic, benthic",1,0,,absent,0,,,,,,,,,,,,,,,Anaxyrus_terrestris,,,,,,
55,Bufonidae,Anaxyrus,Anaxyrus_woodhousii,,,,,"lentic, benthic",1,0,,absent,0,,,,,,,,,,,,,,,Anaxyrus_woodhousii,,,,,,
56,Bufonidae,Ansonia,Ansonia_echinata,,,?,Cannot be robustly included - three members sampled,"lotic, suctorial",0,1,,absent,0,buds,,,,,,,,Dias,,,Dias,,,Ansonia_echinata,,,,,,
