"","Family","Genus","Taxa","Portik","guild","ecology","terrestrial","lung","Spec_lotic","six_state","eight_state","state","tree_names"
"1","Allophrynidae","Allophryne","Allophryne_ruthveni","","lentic",1,"0",1,0,6,6,4,"Allophryne_ruthveni"
"2","Alsodidae","Alsodes","Alsodes_monticola","","lentic, benthic",1,"0",1,0,6,6,4,"Alsodes_monticola"
"3","Alsodidae","Alsodes","Alsodes_neuquensis","","lentic, benthic",1,"0",1,0,6,6,4,"Alsodes_neuquensis"
"4","Alsodidae","Alsodes","Alsodes_nodosus","","lotic",0,"0",1,0,3,3,2,"Alsodes_nodosus"
"6","Alsodidae","Limnomedusa","Limnomedusa_macroglossa","","lentic",1,"0",1,0,6,6,4,"Limnomedusa_macroglossa"
"7","Alytidae","Alytes","Alytes_dickhilleni","","lentic",1,"0",1,0,6,6,4,"Alytes_dickhilleni"
"8","Alytidae","Alytes","Alytes_obstetricans","","lentic, benthic",1,"0",1,0,6,6,4,"Alytes_obstetricans"
"9","Alytidae","Discoglossus","Discoglossus_galganoi","","lentic, benthic",1,"0",1,0,6,6,4,"Discoglossus_galganoi"
"10","Alytidae","Discoglossus","Discoglossus_pictus","","lentic, benthic",1,"0",1,0,6,6,4,"Discoglossus_pictus"
"12","Aromobatidae","Allobates","Allobates_grillisimilis","","lentic",1,"0",1,0,6,6,4,"Allobates_grillisimilis"
"13","Aromobatidae","Allobates","Allobates_insperatus","","lentic",1,"0",1,0,6,6,4,"Allobates_insperatus"
"16","Aromobatidae","Anomaloglossus","Anomaloglossus_tepuyensis","","lotic",0,"0",1,0,3,3,2,"Anomaloglossus_tepuyensis"
"17","Aromobatidae","Aromobates","Aromobates_mayorgai","Aromobates_meridensis","lotic, sidepools",0,"0",1,0,3,3,2,"Aromobates_meridensis"
"18","Aromobatidae","Aromobates","Aromobates_saltuensis","","lotic",0,"0",1,0,3,3,2,"Aromobates_saltuensis"
"19","Aromobatidae","Mannophryne","Mannophryne_herminae","","lentic, benthic",1,"0",1,0,6,6,4,"Mannophryne_herminae"
"20","Aromobatidae","Mannophryne","Mannophryne_trinitatis","","lentic",1,"0",1,0,6,6,4,"Mannophryne_trinitatis"
"21","Aromobatidae","Rheobates","Rheobates_palmatus","","lotic",0,"0",1,0,3,3,2,"Rheobates_palmatus"
"23","Arthroleptidae","Astylosternus","Astylosternus_diadematus","","lotic, clasping",0,"0",1,0,3,3,2,"Astylosternus_diadematus"
"24","Arthroleptidae","Astylosternus","Astylosternus_rheophilus","","lotic, clasping",0,"0",1,0,3,3,2,"Astylosternus_rheophilus"
"25","Arthroleptidae","Cardioglossa","Cardioglossa_manengouba","","lotic, fossorial",0,"0",0,1,2,2,1,"Cardioglossa_manengouba"
"26","Arthroleptidae","Cardioglossa","Cardioglossa_sp.","Cardioglossa_schioetzi","lotic, fossorial",0,"0",0,1,2,2,1,"Cardioglossa_schioetzi"
"27","Arthroleptidae","Leptodactylodon","Leptodactylodon_bicolor","","lotic, fossorial",0,"0",1,1,4,4,2,"Leptodactylodon_bicolor"
"28","Arthroleptidae","Leptodactylodon","Leptodactylodon_boulengeri","","lotic, fossorial",0,"0",0,1,2,2,1,"Leptodactylodon_boulengeri"
"29","Arthroleptidae","Leptodactylodon","Leptodactylodon_mertensi","","lotic, fossorial",0,"0",1,1,4,4,2,"Leptodactylodon_mertensi"
"31","Arthroleptidae","Leptopelis","Leptopelis_boulengeri","","lotic",0,"0",1,0,3,3,2,"Leptopelis_boulengeri"
"33","Arthroleptidae","Leptopelis","Leptopelis_kivuensis","","lentic",1,"0",1,0,6,6,4,"Leptopelis_kivuensis"
"34","Arthroleptidae","Leptopelis","Leptopelis_natalensis","","lotic",0,"0",1,0,3,3,2,"Leptopelis_natalensis"
"37","Arthroleptidae","Leptopelis","Leptopelis_vermiculatus","","lentic, benthic",1,"0",1,0,6,6,4,"Leptopelis_vermiculatus"
"41","Arthroleptidae","Nyctibates","Nyctibates_corrugatus","","lotic, suctorial",0,"0",1,1,4,4,2,"Nyctibates_corrugatus"
"43","Arthroleptidae","Trichobatrachus","Trichobatrachus_robustus","","lotic, suctorial",0,"0",1,1,4,4,2,"Trichobatrachus_robustus"
"44","Ascaphidae","Ascaphus","Ascaphus_montanus","","lotic, suctorial",0,"0",0,1,2,2,1,"Ascaphus_montanus"
"45","Ascaphidae","Ascaphus","Ascaphus_truei","","lotic, suctorial",0,"0",0,1,2,2,1,"Ascaphus_truei"
"46","Batrachylidae","Atelognathus","Atelognathus_reverberii","","lentic, benthic",1,"0",1,0,6,6,4,"Atelognathus_reverberii"
"47","Batrachylidae","Batrachyla","Batrachyla_taeniata","","lentic, benthic",1,"0",1,0,6,6,4,"Batrachyla_taeniata"
"49","Batrachylidae","Hylorina","Hylorina_sylvatica","","lentic, benthic",1,"0",1,0,6,6,4,"Hylorina_sylvatica"
"51","Bombinatoridae","Bombina","Bombina_maxima","","lentic, benthic",1,"0",1,0,6,6,4,"Bombina_maxima"
"52","Bombinatoridae","Bombina","Bombina_orientalis","","lentic, benthic",1,"0",1,0,6,6,4,"Bombina_orientalis"
"53","Bombinatoridae","Bombina","Bombina_variegata","","lentic, benthic",1,"0",1,0,6,6,4,"Bombina_variegata"
"63","Bufonidae","Amazophrynella","Amazophrynella_minuta","","lentic, benthic",1,"0",0,0,5,5,3,"Amazophrynella_minuta"
"64","Bufonidae","Anaxyrus","Anaxyrus_americanus","","lentic, benthic",1,"0",0,0,5,5,3,"Anaxyrus_americanus"
"65","Bufonidae","Anaxyrus","Anaxyrus_terrestris","","lentic, benthic",1,"0",0,0,5,5,3,"Anaxyrus_terrestris"
"66","Bufonidae","Anaxyrus","Anaxyrus_woodhousii","","lentic, benthic",1,"0",0,0,5,5,3,"Anaxyrus_woodhousii"
"67","Bufonidae","Ansonia","Ansonia_echinata","?","lotic, suctorial",0,"0",0,1,2,2,1,NA
"68","Bufonidae","Ansonia","Ansonia_hanitschi","","lotic, suctorial",0,"0",0,1,2,2,1,"Ansonia_hanitschi"
"69","Bufonidae","Ansonia","Ansonia_mcgregori","","lotic, suctorial",0,"0",0,1,2,2,1,"Ansonia_mcgregori"
"70","Bufonidae","Atelopus","Atelopus_nanay","","lotic, gastromyzophorous",0,"0",0,1,2,2,1,"Atelopus_nanay"
"71","Bufonidae","Atelopus","Atelopus_tricolor","","lotic, gastromyzophorous",0,"0",0,1,2,2,1,"Atelopus_tricolor"
"72","Bufonidae","Atelopus","Atelopus_zeteki","","lotic, gastromyzophorous",0,"0",0,1,2,2,1,"Atelopus_zeteki"
"73","Bufonidae","Barbarophryne","Barbarophryne_brongersmai","","lentic, benthic",1,"0",0,0,5,5,3,"Barbarophryne_brongersmai"
